"0001","相生ユニビオ","あいおいゆにびお","445-0891","22","愛知県愛知県西尾市下町丸山５番地","http://www.unibio.jp","34.8741958","137.038757","t"
"0002","相澤酒造","あいざわしゅぞう","327-0843","8","栃木県佐野市堀米町３９５４-１","http://www4.ocn.ne.jp/~ainosawa/","36.3262119","139.5780989","t"
"0003","愛知県食品工業技術センター","あいちけんしょくひんこうぎょうぎじゅつせんたー","451-0083","22","愛知県名古屋市西区新福寺町２-１-１","http://www.aichi-inst.jp/shokuhin/","35.2036811","136.8827142","t"
"0004","愛知酒造","あいちしゅぞう","529-1227","24","滋賀県愛知郡愛荘町野々目２０７","なし","35.1712595","136.2259741","t"
"0005","会津酒造","あいづしゅぞう","967-0006","6","福島県南会津郡南会津町永田字穴沢６０３","http://www.uyou.gr.jp/aizu-syuzou/","37.201433","139.756248","t"
"0006","会津錦","あいづにしき","969-4311","6","福島県喜多方市高郷町西羽賀２５２４","http://aizunishiki.jp/","37.6022185","139.7569163","t"
"0007","相原酒造","あいはらしゅぞう","737-0152","33","広島県呉市仁方本町１-２５-１５ ","http://www.urban.ne.jp/home/aihara/","34.2268087","132.6514232","f"
"0008","あい娘酒造","あいむすめしゅぞう","854-0301","雲仙市","雲仙市愛野町甲１３７８-２","なし","32.8214735","130.165721","t"
"0009","愛友酒造","あいゆうしゅぞう","311-2421","7","茨城県潮来市辻205","http://www.aiyu-sake.jp","35.9460896","140.5581442","t"
"0010","葵酒造","あおいしゅぞう","667-0112","27","兵庫県養父市養父市場２８１","なし","35.385246","134.8113091","t"
"0011","青ヶ島酒造","あおがしましゅぞう","100-1400","12","東京都八丈島八丈町","なし","33.1094444","139.7913889","f"
"0012","青木酒造（山口）","あおきしゅぞう","745-0302","34","山口県周南市鹿野町大字鹿野上３１９７","なし","34.0551188","131.8061858","t"
"0013","青木酒造（愛知）","あおきしゅぞう","496-0915","22","愛知県愛西市本部田町本西６０","http://www.yamahai.co.jp/","35.1368794","136.7358026","t"
"0015","青木酒造（新潟）","あおきしゅぞう","949-6408","14","新潟県南魚沼市塩沢１２１４","http://www.kakurei.co.jp/","37.0399491","138.8511738","t"
"0014","青木酒造(茨城）","あおきしゅぞう","306-0023","7","茨城県古河市本町２-１５-１１","なし","36.1907084","139.7061103","f"
"1189","青島酒造","あおしましゅぞう","426-0036","21","静岡県藤枝市上青島２４６","なし","34.8441575","138.227339","f"
"0016","青砥酒造","あおとしゅぞう","692-0623","31","島根県安来市広瀬町布部１１６４-４","なし","35.3018648","133.1483125","t"
"0017","青柳酒造","あおやぎしゅぞう","289-1701","11","千葉県山武郡横芝光町篠本７２６","なし","35.7013497","140.4993597","t"
"0018","赤磐酒造","あかいわしゅぞう","709-0821","32","岡山県赤磐市河本１１１３ ","http://www.freak.ne.jp/akaiwa/","34.7481022","134.0163487","t"
"0019","赤川酒造","あかがわしゅぞう","761-8012","36","香川県高松市香西本町２８６-１ ","なし","34.3448952","134.0024851","t"
"0020","赤木酒造","あかぎしゅぞう","716-0303","32","岡山県高梁市備中町長屋４３ ","なし","34.7872185","133.4588257","t"
"0021","赤澤酒造","あかざわしゅぞう","713-8126","32","岡山県倉敷市玉島黒崎７９９２ ","なし","34.4952126","133.6157293","t"
"0022","明石酒造","あかししゅぞう","889-4221","44","宮崎県えびの市大字栗下６１-１","http://www.meigetsu.co.jp/","32.0413558","130.8144626","f"
"0023","明石酒類醸造","あかししゅるいじょうぞう","673-0871","27","兵庫県明石市大蔵八幡町１-３","http://www.akashi-tai.com/","34.6448043","135.0121551","t"
"0024","明科酒造","あかしなしゅぞう","399-7102","19","長野県安曇野市明科中川手４１７６","なし","36.3565676","137.9318004","f"
"0025","明石醗酵工業","あかしはっこうこうぎょう","673-0026","27","兵庫県明石市船上町９-４８ ","http://www.akashi-tai.com/","34.6457116","134.9742279","t"
"0026","アカツキ酒造","あかつきしゅぞう","882-1414","44","宮崎県西臼杵郡高千穂町大字河内１８３５-５","なし","32.7756456","131.2561478","t"
"0027","暁酒造","あかつきしゅぞう","520-2331","24","滋賀県野洲市小篠原１３８９","なし","35.0662956","136.0284307","t"
"0028","吾妻嶺酒造店","あがつまみねしゅぞうてん","028-3453","2","岩手県紫波郡紫波町土舘字内川５ ","http://www.azumamine.com","39.5520108","141.1086497","t"
"0029","赤武酒造","あかぶしゅぞう","028-1177","2","岩手県上閉伊郡大槌町末広町３-３ ","なし","39.359756","141.9045572","t"
"0030","赤松本家酒造","あかまつほんけしゅぞう","798-3323","37","愛媛県宇和島市津島町上畑地甲１５０２","なし","33.0844572","132.5060851","t"
"0031","赤嶺酒造場","あかみねしゅぞうじょう","875-0201","43","大分県臼杵市野津町大字野津市１６４-１","なし","33.0440103","131.6926912","f"
"0032","赤名酒造","あかめいしゅぞう","690-3511","31","島根県飯石郡飯南町赤名２３","なし","34.9971962","132.7160212","t"
"0033","阿川酒造","あがわしゅぞう","779-4101","35","徳島県美馬郡つるぎ町貞光字町１１ ","なし","34.033888","134.0630264","t"
"0034","秋川酒造","あきがわしゅぞう","799-1312","37","愛媛県西条市大野１５０ ","http://www5b.biglobe.ne.jp/~sake/","33.9455265","133.0476577","t"
"0035","秋鹿酒造","あきしかしゅぞう","563-0113","26","大阪府豊能郡能勢町倉垣１００７ ","なし","34.9768837","135.4666694","f"
"0036","秋田県醗酵工業","あきたけんはっこうこうぎょう","012-0051","4","秋田県湯沢市深堀字中川原120-8","http://www.akihatsu.co.jp/","39.1687","140.4714761","f"
"0037","秋田酒造","あきたしゅぞう","010-1631","4","秋田県秋田市新屋元町２３-２８ ","http://www.osake.or.jp/kuramoto/m61.html","39.6839781","140.0826737","f"
"0038","秋田酒類製造","あきたしゅるいせいぞう","010-0934","4","秋田県秋田市川元むつみ町4-12","http://www.takashimizu.co.jp/index.html","39.7094174","140.1044786","f"
"0039","秋田醸造","あきたじょうぞう","010-0021","4","秋田県秋田市楢山登町５-２ ","http://www.osake.or.jp/kuramoto/m31.html","39.7081931","140.1143666","t"
"0040","秋田清酒","あきたせいしゅ","014-0801","4","秋田県大仙市戸地谷字天ケ沢８３-１","http://www.igeta.jp","39.4640763","140.4969619","f"
"0041","秋田富士酒造店","あきたふじしゅぞうてん","014-1412","4","秋田県大仙市藤木字西八圭３１","http://www.osake.or.jp/kuramoto/te1.html","39.412126","140.480976","t"
"0042","秋田誉酒造","あきたほまれしゅぞう","015-0875","4","秋田県由利本荘市砂子下３","http://www.osake.or.jp/kuramoto/u181.html","39.3897483","140.0389471","t"
"0043","秋田銘醸","あきためいじょう","012-0814","4","秋田県湯沢市大工町4番23号 ","http://www.ranman.co.jp","39.1680925","140.4946712","f"
